Hand Type,Player Hand,Dealer 2,Dealer 3,Dealer 4,Dealer 5,Dealer 6,Dealer 7,Dealer 8,Dealer 9,Dealer 10,Dealer Ace
Soft Hands,"Soft Hand A,8","S, 0.3655","S, 0.4022","S, 0.4230","S, 0.4290","S, 0.5080","S, 0.6208","S, 0.5840","S, 0.2995","S, -0.0032","S, -0.0943"
Soft Hands,"Soft Hand A,9","S, 0.6478","S, 0.6300","S, 0.6793","S, 0.6735","S, 0.6985","S, 0.7442","S, 0.7672","S, 0.7605","S, 0.4295","S, 0.1537"
Split Hands,"Split Hand 2,2","H, -0.1378","H, -0.0940","H, -0.0622","H, -0.0575","H, -0.0192","H, -0.0808","H, -0.1525","H, -0.2557","H, -0.3297","H, -0.4410"
Split Hands,"Split Hand 3,3","H, -0.1422","H, -0.1303","H, -0.0833","H, -0.0248","H, -0.0428","H, -0.1365","H, -0.2442","H, -0.2795","H, -0.3887","H, -0.4550"
Split Hands,"Split Hand 4,4","H, -0.0420","H, 0.0040","H, 0.0343","H, 0.0693","H, 0.1092","H, 0.0490","H, -0.0565","H, -0.2177","H, -0.2990","H, -0.4093"
Split Hands,"Split Hand 5,5","D, 0.3090","D, 0.4570","D, 0.4560","D, 0.4920","D, 0.5140","D, 0.3470","D, 0.2575","D, 0.1180","H, -0.0495","H, -0.2132"
Split Hands,"Split Hand 6,6","H, -0.2382","H, -0.2275","H, -0.2010","SP, -0.1535","SP, -0.1422","H, -0.1765","H, -0.2720","H, -0.3137","H, -0.4318","H, -0.5128"
Split Hands,"Split Hand 7,7","S, -0.3015","SP, -0.1755","SP, -0.1975","SP, -0.0333","SP, 0.0055","SP, -0.2382","H, -0.3797","H, -0.4133","H, -0.4783","H, -0.5857"
Split Hands,"Split Hand 8,8","SP, -0.1215","SP, -0.0267","SP, -0.0015","SP, 0.1052","SP, 0.2225","SP, 0.0798","SP, -0.2055","H, -0.4995","H, -0.5735","H, -0.6352"
Split Hands,"Split Hand 9,9","S, 0.1255","S, 0.1417","SP, 0.2092","SP, 0.2807","SP, 0.3930","S, 0.4128","S, 0.1143","S, -0.1585","S, -0.2365","S, -0.3762"
Split Hands,"Split Hand 10,10","S, 0.6290","S, 0.6400","S, 0.6713","S, 0.6665","S, 0.6975","S, 0.7700","S, 0.8023","S, 0.7642","S, 0.4567","S, 0.1885"
