Hand Type,Player Hand,Dealer 2,Dealer 3,Dealer 4,Dealer 5,Dealer 6,Dealer 7,Dealer 8,Dealer 9,Dealer 10,Dealer Ace
Solid Hands,Solid Hand 19,"S, 0.3987","S, 0.3972","S, 0.4275","S, 0.4313","S, 0.4980","S, 0.5815","S, 0.6145","S, 0.2883","S, 0.0013","S, -0.0973"
Solid Hands,Solid Hand 18,"S, 0.1247","S, 0.1512","S, 0.1675","S, 0.1900","S, 0.2710","S, 0.3805","S, 0.0983","S, -0.1990","S, -0.2082","S, -0.3942"
Solid Hands,Solid Hand 17,"S, -0.1727","S, -0.1375","S, -0.0880","S, -0.0777","S, -0.0168","S, -0.1108","S, -0.3693","S, -0.3852","S, -0.4660","S, -0.6232"
Solid Hands,Solid Hand 16,"S, -0.2930","S, -0.2715","S, -0.2250","S, -0.2070","S, -0.1730","H, -0.4160","H, -0.4440","H, -0.4983","H, -0.5540","H, -0.6478"
Solid Hands,Solid Hand 15,"S, -0.2985","S, -0.2250","S, -0.2130","S, -0.1665","S, -0.1605","H, -0.3643","H, -0.3895","H, -0.4313","H, -0.5272","H, -0.6355"
Solid Hands,Solid Hand 14,"S, -0.3035","S, -0.2460","S, -0.2285","S, -0.1960","S, -0.1615","H, -0.3187","H, -0.3583","H, -0.3995","H, -0.4923","H, -0.5727"
Solid Hands,Solid Hand 13,"H, -0.2727","S, -0.2680","S, -0.2165","S, -0.1930","S, -0.1780","H, -0.2640","H, -0.3312","H, -0.3673","H, -0.4340","H, -0.5265"
Solid Hands,Solid Hand 12,"H, -0.2470","H, -0.2110","H, -0.2300","H, -0.1822","S, -0.1470","H, -0.1940","H, -0.2775","H, -0.3385","H, -0.3907","H, -0.5312"
Solid Hands,Solid Hand 11,"D, 0.4275","D, 0.4160","D, 0.5655","D, 0.5270","D, 0.6500","D, 0.4580","D, 0.2895","D, 0.2150","D, 0.1010","H, -0.0912"
Solid Hands,Solid Hand 10,"D, 0.3525","D, 0.3435","D, 0.4065","D, 0.4795","D, 0.4950","D, 0.3140","D, 0.2055","D, 0.1070","H, -0.0508","H, -0.2170"
Solid Hands,Solid Hand 9,"H, 0.0707","H, 0.0813","D, 0.1700","D, 0.2485","D, 0.2640","H, 0.1760","H, 0.0990","H, -0.0838","H, -0.2040","H, -0.3212"
Solid Hands,Solid Hand 8,"H, -0.0555","H, -0.0095","H, 0.0505","H, 0.0302","H, 0.1270","H, 0.0835","H, -0.0413","H, -0.1845","H, -0.2705","H, -0.4365"
Solid Hands,Solid Hand 7,"H, -0.1118","H, -0.0825","H, -0.0830","H, -0.0260","H, -0.0047","H, -0.0765","H, -0.2095","H, -0.2930","H, -0.3820","H, -0.4860"
Solid Hands,Solid Hand 6,"H, -0.1345","H, -0.1125","H, -0.0925","H, -0.0820","H, -0.0335","H, -0.1600","H, -0.2382","H, -0.3013","H, -0.4050","H, -0.4978"
Solid Hands,Solid Hand 5,"H, -0.1390","H, -0.1308","H, -0.0818","H, -0.0605","H, -0.0413","H, -0.1070","H, -0.1775","H, -0.2395","H, -0.3510","H, -0.4607"
Soft Hands,"Soft Hand A,2","H, -0.0400","H, -0.0270","H, 0.0278","H, 0.0673","D, 0.2105","H, 0.1108","H, 0.0255","H, -0.0597","H, -0.1898","H, -0.2913"
Soft Hands,"Soft Hand A,3","H, -0.0695","D, -0.0050","D, 0.0755","D, 0.1705","D, 0.1605","H, 0.0848","H, 0.0250","H, -0.1045","H, -0.1955","H, -0.3215"
Soft Hands,"Soft Hand A,4","H, -0.0615","D, 0.0260","D, 0.0610","D, 0.1285","D, 0.1560","H, 0.0473","H, -0.0565","H, -0.1303","H, -0.2367","H, -0.3523"
Soft Hands,"Soft Hand A,5","H, -0.0475","H, 0.0227","D, 0.0455","D, 0.0405","D, 0.1785","H, -0.0150","H, -0.0860","H, -0.1583","H, -0.2507","H, -0.3950"
Soft Hands,"Soft Hand A,6","D, 0.0470","D, 0.0420","D, 0.0995","D, 0.1750","D, 0.2325","H, 0.0350","H, -0.0560","H, -0.1628","H, -0.2540","H, -0.4007"
Soft Hands,"Soft Hand A,7","D, 0.1180","S, 0.1525","D, 0.2295","D, 0.2340","D, 0.3440","S, 0.3872","S, 0.0960","H, -0.0975","H, -0.2070","H, -0.3290"
