Hand Type,Player Hand,Dealer 2,Dealer 3,Dealer 4,Dealer 5,Dealer 6,Dealer 7,Dealer 8,Dealer 9,Dealer 10,Dealer Ace
Solid Hands,Solid Hand 19,"S, 0.4123","S, 0.3942","S, 0.4632","S, 0.4580","S, 0.4928","S, 0.6365","S, 0.6180","S, 0.2865","S, -0.0440","S, -0.1517"
Solid Hands,Solid Hand 18,"S, 0.1160","S, 0.1630","S, 0.1915","S, 0.2395","S, 0.3152","S, 0.4225","S, 0.0920","S, -0.2147","S, -0.2745","S, -0.3755"
Solid Hands,Solid Hand 17,"S, -0.1160","S, -0.1140","S, -0.0595","S, -0.0187","S, 0.0470","S, -0.0902","S, -0.4050","S, -0.4075","S, -0.4918","S, -0.6300"
Solid Hands,Solid Hand 16,"S, -0.2450","S, -0.1890","S, -0.1840","S, -0.1375","S, -0.1435","H, -0.4380","H, -0.4833","H, -0.5198","H, -0.5877","H, -0.6755"
Solid Hands,Solid Hand 15,"S, -0.2525","S, -0.2195","S, -0.1760","S, -0.1425","S, -0.1230","H, -0.4203","H, -0.4470","H, -0.5230","H, -0.5703","H, -0.6428"
Solid Hands,Solid Hand 14,"S, -0.2565","S, -0.1985","S, -0.1505","S, -0.1245","S, -0.1195","H, -0.3280","H, -0.4300","H, -0.4565","H, -0.5477","H, -0.6090"
Solid Hands,Solid Hand 13,"S, -0.2700","S, -0.2090","S, -0.1980","S, -0.1275","S, -0.1270","H, -0.2825","H, -0.3215","H, -0.4060","H, -0.4765","H, -0.5797"
Solid Hands,Solid Hand 12,"H, -0.2440","S, -0.1940","S, -0.1640","S, -0.1165","S, -0.1235","H, -0.2397","H, -0.2983","H, -0.3655","H, -0.4545","H, -0.5335"
Solid Hands,Solid Hand 11,"D, 0.5275","D, 0.5955","D, 0.6145","D, 0.6915","D, 0.7750","D, 0.5500","D, 0.4400","D, 0.2500","D, 0.1075","H, -0.0890"
Solid Hands,Solid Hand 10,"D, 0.4290","D, 0.4630","D, 0.5225","D, 0.6430","D, 0.6715","D, 0.5400","D, 0.3545","D, 0.1970","H, -0.0338","H, -0.2427"
Solid Hands,Solid Hand 9,"D, 0.1435","D, 0.1535","D, 0.2190","D, 0.2725","D, 0.4220","D, 0.2385","H, 0.1185","H, -0.0558","H, -0.2345","H, -0.3580"
Solid Hands,Solid Hand 8,"H, 0.0053","H, 0.0483","H, 0.0503","H, 0.1055","H, 0.1595","H, 0.0777","H, -0.0592","H, -0.2050","H, -0.3123","H, -0.4392"
Solid Hands,Solid Hand 7,"H, -0.0762","H, -0.0607","H, -0.0057","H, 0.0425","H, 0.0745","H, -0.0560","H, -0.2172","H, -0.3202","H, -0.3815","H, -0.5280"
Solid Hands,Solid Hand 6,"H, -0.1398","H, -0.0945","H, -0.0700","H, -0.0057","H, 0.0092","H, -0.1625","H, -0.2722","H, -0.3152","H, -0.4258","H, -0.5403"
Solid Hands,Solid Hand 5,"H, -0.1510","H, -0.1070","H, -0.0500","H, -0.0208","H, 0.0073","H, -0.1552","H, -0.2300","H, -0.3023","H, -0.3957","H, -0.4783"
Soft Hands,"Soft Hand A,2","D, -0.0140","D, 0.0285","D, 0.1120","D, 0.1505","D, 0.2100","H, 0.0735","H, 0.0325","H, -0.1328","H, -0.2067","H, -0.3757"
Soft Hands,"Soft Hand A,3","H, -0.0405","H, 0.0230","D, 0.0555","D, 0.2175","D, 0.1930","H, 0.0628","H, -0.0288","H, -0.1168","H, -0.2502","H, -0.3837"
Soft Hands,"Soft Hand A,4","H, -0.0158","H, 0.0040","D, 0.0700","D, 0.1700","D, 0.2020","H, 0.0077","H, -0.1100","H, -0.1465","H, -0.2935","H, -0.3982"
Soft Hands,"Soft Hand A,5","H, -0.0213","D, 0.0785","D, 0.1220","D, 0.1065","D, 0.1410","H, -0.0310","H, -0.1375","H, -0.2072","H, -0.3290","H, -0.4432"
Soft Hands,"Soft Hand A,6","H, 0.0362","D, 0.1580","D, 0.1560","D, 0.2100","D, 0.2975","H, 0.0450","H, -0.1030","H, -0.1685","H, -0.2818","H, -0.4382"
Soft Hands,"Soft Hand A,7","D, 0.1530","D, 0.1870","D, 0.3015","D, 0.3660","D, 0.4000","S, 0.4030","S, 0.1052","H, -0.1420","H, -0.2203","H, -0.3147"
Soft Hands,"Soft Hand A,8","S, 0.3842","S, 0.3967","D, 0.4295","D, 0.4825","D, 0.6175","S, 0.6328","S, 0.5893","S, 0.2945","S, -0.0445","S, -0.1383"
Soft Hands,"Soft Hand A,9","S, 0.6485","S, 0.6515","S, 0.6590","S, 0.6835","S, 0.7212","S, 0.7740","S, 0.7993","S, 0.7672","S, 0.4037","S, 0.0950"
Split Hands,"Split Hand 2,2","H, -0.1158","H, -0.0808","H, -0.0345","H, -0.0092","H, -0.0195","H, -0.1098","H, -0.1855","H, -0.2775","H, -0.3427","H, -0.4642"
Split Hands,"Split Hand 3,3","H, -0.1422","H, -0.0788","H, -0.0537","H, 0.0107","SP, 0.0483","H, -0.1993","H, -0.2537","H, -0.3415","H, -0.4135","H, -0.5395"
Split Hands,"Split Hand 4,4","H, -0.0088","H, 0.0510","H, 0.0660","D, 0.0865","H, 0.1787","H, 0.1052","H, -0.0535","H, -0.2205","H, -0.3285","H, -0.4552"
Split Hands,"Split Hand 5,5","D, 0.4145","D, 0.4665","D, 0.5565","D, 0.5895","D, 0.6475","D, 0.4475","D, 0.3195","D, 0.1480","H, -0.0580","H, -0.2160"
Split Hands,"Split Hand 6,6","S, -0.2585","S, -0.2005","SP, -0.1057","SP, -0.1010","SP, 0.0352","H, -0.2135","H, -0.2883","H, -0.3663","H, -0.4397","H, -0.5280"
Split Hands,"Split Hand 7,7","SP, -0.2545","SP, -0.1227","SP, -0.0003","SP, 0.0155","SP, 0.1585","SP, -0.2913","H, -0.3792","H, -0.4905","H, -0.5333","H, -0.6028"
Split Hands,"Split Hand 8,8","SP, 0.0063","SP, 0.0675","SP, 0.1175","SP, 0.2338","SP, 0.3302","SP, 0.1665","SP, -0.1465","SP, -0.5158","S, -0.5870","H, -0.6590"
Split Hands,"Split Hand 9,9","SP, 0.1770","SP, 0.2878","SP, 0.3585","SP, 0.4240","SP, 0.4462","S, 0.4037","SP, 0.1670","SP, -0.1113","S, -0.2527","S, -0.4068"
Split Hands,"Split Hand 10,10","S, 0.6302","S, 0.6512","S, 0.6757","S, 0.6815","S, 0.7060","S, 0.7867","S, 0.8075","S, 0.7648","S, 0.4303","S, 0.1153"
