Hand Type,Player Hand,Dealer 2,Dealer 3,Dealer 4,Dealer 5,Dealer 6,Dealer 7,Dealer 8,Dealer 9,Dealer 10,Dealer Ace
Solid Hands,Solid Hand 19,"S, 0.3720","S, 0.4350","S, 0.4800","S, 0.4860","S, 0.5220","S, 0.6760","S, 0.6400","S, 0.2840","S, -0.0415","S, -0.1170"
Solid Hands,Solid Hand 18,"S, 0.1220","S, 0.1700","S, 0.2310","S, 0.2640","S, 0.3290","S, 0.4200","S, 0.1510","S, -0.1780","S, -0.2600","S, -0.3850"
Solid Hands,Solid Hand 17,"S, -0.1255","S, -0.1020","S, -0.0250","S, -0.0195","S, 0.0465","S, -0.0780","S, -0.3905","S, -0.4525","S, -0.4910","S, -0.5930"
Solid Hands,Solid Hand 16,"S, -0.2690","S, -0.1600","S, -0.1450","S, -0.1190","S, -0.0930","H, -0.4320","H, -0.4750","H, -0.5200","H, -0.5670","H, -0.6580"
Solid Hands,Solid Hand 15,"S, -0.2440","S, -0.2640","S, -0.1600","S, -0.0940","S, -0.0940","H, -0.3840","H, -0.4350","H, -0.4930","H, -0.5570","H, -0.6070"
Solid Hands,Solid Hand 14,"S, -0.2520","S, -0.1780","S, -0.1620","S, -0.1320","S, -0.1200","H, -0.2820","H, -0.3585","H, -0.3990","H, -0.4960","H, -0.5790"
Solid Hands,Solid Hand 13,"S, -0.2590","S, -0.2200","S, -0.1680","S, -0.1200","S, -0.0920","H, -0.2595","H, -0.3060","H, -0.4060","H, -0.4700","H, -0.5670"
Solid Hands,Solid Hand 12,"H, -0.2410","H, -0.2200","S, -0.1540","S, -0.0730","H, -0.1380","H, -0.2290","H, -0.2510","H, -0.3295","H, -0.4175","H, -0.5300"
Solid Hands,Solid Hand 11,"D, 0.5020","D, 0.6400","D, 0.6220","D, 0.6850","D, 0.7970","D, 0.5260","D, 0.4060","D, 0.3020","H, 0.0920","H, -0.0890"
Solid Hands,Solid Hand 10,"D, 0.4530","D, 0.4910","D, 0.5850","D, 0.6140","D, 0.6680","D, 0.4520","D, 0.3920","H, 0.1280","H, -0.0115","H, -0.1985"
Solid Hands,Solid Hand 9,"H, 0.1100","D, 0.2080","D, 0.2280","D, 0.3690","D, 0.3780","H, 0.2370","H, 0.1170","H, -0.0350","H, -0.1920","H, -0.3100"
Solid Hands,Solid Hand 8,"H, 0.0015","H, 0.0860","H, 0.1250","H, 0.0980","H, 0.1740","H, 0.1130","H, -0.0520","H, -0.1780","H, -0.2990","H, -0.4150"
Solid Hands,Solid Hand 7,"H, -0.0570","H, -0.0050","H, -0.0205","H, 0.0520","H, 0.0735","H, -0.0570","H, -0.2280","H, -0.3330","H, -0.3640","H, -0.4965"
Solid Hands,Solid Hand 6,"H, -0.1195","H, -0.0860","S, -0.1000","H, -0.0300","H, 0.0110","H, -0.1110","H, -0.2430","H, -0.3625","H, -0.4210","H, -0.5140"
Solid Hands,Solid Hand 5,"H, -0.0770","H, -0.0925","H, -0.0580","H, -0.0225","H, -0.0210","H, -0.1320","H, -0.1630","H, -0.2700","H, -0.3695","H, -0.4790"
Soft Hands,"Soft Hand A,2","D, 0.0280","H, 0.0010","D, 0.0580","D, 0.2540","D, 0.3160","H, 0.1190","H, 0.0000","H, -0.0710","H, -0.2240","H, -0.3225"
Soft Hands,"Soft Hand A,3","D, 0.0740","D, 0.0920","D, 0.1080","D, 0.2260","D, 0.2020","H, 0.0500","H, -0.0210","H, -0.1460","H, -0.2410","H, -0.3630"
Soft Hands,"Soft Hand A,4","H, 0.0050","H, -0.0070","D, 0.1140","D, 0.1750","D, 0.2800","H, 0.0430","H, -0.0650","H, -0.1690","H, -0.2935","H, -0.4260"
Soft Hands,"Soft Hand A,5","H, 0.0110","D, 0.1160","H, 0.0770","H, 0.0805","D, 0.2600","H, -0.0375","H, -0.1185","H, -0.2165","H, -0.3080","H, -0.4270"
Soft Hands,"Soft Hand A,6","H, 0.0060","D, 0.1500","D, 0.2020","D, 0.2260","D, 0.2560","H, 0.0670","H, -0.0930","H, -0.1605","H, -0.2990","H, -0.3750"
Soft Hands,"Soft Hand A,7","S, 0.1225","D, 0.3080","S, 0.2130","D, 0.3320","D, 0.4260","S, 0.4570","S, 0.1150","H, -0.1045","H, -0.2155","H, -0.3415"
Soft Hands,"Soft Hand A,8","D, 0.4100","D, 0.3820","S, 0.4490","S, 0.4500","S, 0.5175","S, 0.6370","S, 0.6290","S, 0.2520","S, -0.0310","S, -0.1350"
Soft Hands,"Soft Hand A,9","S, 0.6365","S, 0.6500","S, 0.6680","S, 0.7030","S, 0.7295","S, 0.7740","S, 0.8040","S, 0.7745","S, 0.4270","S, 0.1310"
Split Hands,"Split Hand 2,2","H, -0.0870","H, -0.0560","SP, -0.0770","SP, 0.1090","SP, 0.0595","H, -0.1070","H, -0.1600","H, -0.2490","H, -0.3310","H, -0.4910"
Split Hands,"Split Hand 3,3","H, -0.0870","H, -0.1455","H, -0.0420","H, 0.0045","SP, 0.0160","H, -0.1750","H, -0.2820","H, -0.3400","H, -0.4210","H, -0.5010"
Split Hands,"Split Hand 4,4","H, 0.0070","D, -0.0020","H, 0.0870","H, 0.0980","D, 0.1990","H, 0.0950","H, -0.0680","H, -0.1970","H, -0.3140","H, -0.4110"
Split Hands,"Split Hand 5,5","D, 0.4520","D, 0.5560","D, 0.5130","D, 0.5960","D, 0.6240","D, 0.4340","D, 0.2950","D, 0.1560","H, -0.0365","H, -0.1740"
Split Hands,"Split Hand 6,6","H, -0.2145","S, -0.2100","SP, -0.0820","SP, -0.0630","SP, -0.0010","H, -0.2250","H, -0.3025","H, -0.3460","H, -0.4400","H, -0.5040"
Split Hands,"Split Hand 7,7","SP, -0.1070","SP, -0.1020","SP, -0.1235","SP, 0.0470","SP, 0.1335","SP, -0.2275","H, -0.3910","H, -0.4315","H, -0.5070","H, -0.6155"
Split Hands,"Split Hand 8,8","SP, -0.0605","SP, 0.1850","SP, 0.1710","SP, 0.2410","SP, 0.3200","SP, 0.1690","SP, -0.2035","S, -0.5520","S, -0.5830","H, -0.6720"
Split Hands,"Split Hand 9,9","SP, 0.2140","SP, 0.3310","SP, 0.3560","SP, 0.4140","SP, 0.5315","S, 0.4710","SP, 0.1510","SP, -0.1825","S, -0.2740","S, -0.3760"
Split Hands,"Split Hand 10,10","S, 0.6620","S, 0.6390","S, 0.6700","S, 0.6810","S, 0.7420","S, 0.8030","S, 0.8400","S, 0.7685","S, 0.4180","S, 0.1355"
