Hand Type,Player Hand,Dealer 2,Dealer 3,Dealer 4,Dealer 5,Dealer 6,Dealer 7,Dealer 8,Dealer 9,Dealer 10,Dealer Ace
Solid Hands,Solid Hand 19,"S, 0.4208","S, 0.4128","S, 0.4417","S, 0.4527","S, 0.5282","S, 0.6485","S, 0.5952","S, 0.2740","S, -0.0553","S, -0.1405"
Solid Hands,Solid Hand 18,"S, 0.1472","S, 0.1540","S, 0.2188","S, 0.2215","S, 0.3327","S, 0.4417","S, 0.1165","S, -0.2013","S, -0.2597","S, -0.4103"
Solid Hands,Solid Hand 17,"S, -0.1380","S, -0.0633","S, -0.0467","S, 0.0200","S, 0.0610","S, -0.0978","S, -0.3970","S, -0.4480","S, -0.4848","S, -0.6425"
Solid Hands,Solid Hand 16,"S, -0.2450","S, -0.2185","S, -0.1650","S, -0.0910","S, -0.1215","H, -0.4447","H, -0.5012","S, -0.5510","S, -0.5905","H, -0.6627"
Solid Hands,Solid Hand 15,"S, -0.2425","S, -0.2050","S, -0.1620","S, -0.1345","S, -0.1255","H, -0.4120","H, -0.4758","H, -0.5200","H, -0.5750","H, -0.6583"
Solid Hands,Solid Hand 14,"S, -0.2545","S, -0.2040","S, -0.1620","S, -0.1130","S, -0.0955","H, -0.3460","H, -0.4070","H, -0.4730","H, -0.5375","H, -0.6175"
Solid Hands,Solid Hand 13,"S, -0.2370","S, -0.2260","S, -0.1490","S, -0.1025","S, -0.1210","H, -0.2970","H, -0.3680","H, -0.3917","H, -0.5045","H, -0.5795"
Solid Hands,Solid Hand 12,"S, -0.2425","S, -0.2100","S, -0.1890","S, -0.1180","S, -0.0765","H, -0.2410","H, -0.3367","H, -0.4022","H, -0.4730","H, -0.5617"
Solid Hands,Solid Hand 11,"D, 0.5505","D, 0.5975","D, 0.7045","D, 0.7600","D, 0.7415","D, 0.5525","D, 0.3595","D, 0.2790","D, 0.0885","H, -0.1025"
Solid Hands,Solid Hand 10,"D, 0.4870","D, 0.4860","D, 0.6305","D, 0.6470","D, 0.6890","D, 0.5005","D, 0.3685","D, 0.1850","H, -0.0325","H, -0.2213"
Solid Hands,Solid Hand 9,"D, 0.1565","D, 0.2770","D, 0.2705","D, 0.3640","D, 0.4750","D, 0.2135","H, 0.1160","H, -0.0390","H, -0.2452","H, -0.3653"
Solid Hands,Solid Hand 8,"H, 0.0307","H, 0.0573","H, 0.1045","H, 0.1230","D, 0.2000","H, 0.1290","H, -0.0780","H, -0.2253","H, -0.3005","H, -0.4348"
Solid Hands,Solid Hand 7,"H, -0.0648","H, -0.0390","H, 0.0192","H, 0.0338","H, 0.0663","H, -0.0553","H, -0.2305","H, -0.3172","H, -0.4062","H, -0.5390"
Solid Hands,Solid Hand 6,"H, -0.1237","H, -0.0805","H, -0.0740","H, -0.0110","H, 0.0293","H, -0.1852","H, -0.2767","H, -0.3620","H, -0.4517","H, -0.5500"
Solid Hands,Solid Hand 5,"H, -0.1515","H, -0.0805","H, -0.0432","H, -0.0168","H, 0.0382","H, -0.1270","H, -0.2412","H, -0.3210","H, -0.4193","H, -0.5040"
Soft Hands,"Soft Hand A,2","H, 0.0123","D, 0.0410","D, 0.1145","D, 0.1905","D, 0.2170","H, 0.0665","H, -0.0083","H, -0.0960","H, -0.2760","H, -0.3633"
Soft Hands,"Soft Hand A,3","H, -0.0380","D, 0.0555","D, 0.0595","D, 0.1615","D, 0.1870","H, 0.0143","H, -0.0475","H, -0.1492","H, -0.2745","H, -0.4073"
Soft Hands,"Soft Hand A,4","H, -0.0420","D, 0.0495","D, 0.0905","D, 0.1765","D, 0.2420","H, -0.0040","H, -0.1115","H, -0.2087","H, -0.3322","H, -0.4255"
Soft Hands,"Soft Hand A,5","H, -0.0312","D, 0.0560","D, 0.1095","D, 0.2100","D, 0.2160","H, -0.0660","H, -0.1187","H, -0.2230","H, -0.3250","H, -0.4590"
Soft Hands,"Soft Hand A,6","H, 0.0420","D, 0.1520","D, 0.1605","D, 0.2260","D, 0.3325","H, 0.0243","H, -0.1100","H, -0.2152","H, -0.2823","H, -0.4288"
Soft Hands,"Soft Hand A,7","S, 0.1407","D, 0.2135","D, 0.3005","D, 0.3725","D, 0.3985","S, 0.4345","S, 0.0953","H, -0.1440","H, -0.2175","H, -0.3907"
Soft Hands,"Soft Hand A,8","S, 0.4017","S, 0.4318","D, 0.4795","D, 0.5225","D, 0.5935","S, 0.6495","S, 0.6260","S, 0.2512","S, -0.0595","S, -0.1325"
Soft Hands,"Soft Hand A,9","S, 0.6480","S, 0.6610","S, 0.6800","D, 0.6945","S, 0.7100","S, 0.7785","S, 0.8065","S, 0.7622","S, 0.4195","S, 0.0980"
Split Hands,"Split Hand 2,2","H, -0.1095","H, -0.0602","H, 0.0053","H, 0.0370","H, 0.0360","H, -0.1022","H, -0.1800","H, -0.2965","H, -0.3628","H, -0.5190"
